doc_content,doc_title,doc_section,doc_chapter,content_root1,content_root2,content_root3,content_root4,content_root5,content_root6,doc_index,doc_order
"-Tension The nominaltensile strengthof an anchor shallbefyAe B.6.5.2- Shear The nominal shear strength attributed to anchors shall be determined by B.6.5.2.1 or B.6.5.2.2, whichever1Sapplicable. B.6.5.2.1 For connections with the contact surface of the baseplate flush with the surface ofthe concrete, the nominal shear strength of an anchor shall be 070fyAc For built-up grout pads, the nominal shear strength shall be multiplied by. 0.80 Friction between the baseplate and concrete may be considered to contribute to the nominal shear strength of the connection. The nominal shear strength resulting from friction between the baseplate and concrete (i.e., without any contribution from anchors) may be taken as0.40C. B.6.5.2.2 For connections with the contact surface of the baseplate below the surface of the concrete, the shearfriction provisions of11.7 of this code (as modified by this section) shall be used. The shear-friction coefficient shallbe as follows: Baseplates without shear lugs 0.9 Baseplates with shearlugswhich are designed to remain elastic 1.4 B.6.5.3 Combined tension andshear B.6.5.3.1 The interaction oftension and shear for anchors designed in accordance with B.6.5.1 and B.6.5.2.1 (sheartransferby anchor bearing) shall beassumedtobelinear (additive) or elliptical. B.6.5.3.2 For anchors designed in accordance with B.6.5.1 and B.6.5.2.2 (shear transfer by shear-friction), the area required fortension due to applied load and the area required for tension due to shear-friction shall be additive.  B.6.6 Structural shapes, fabricated shapes, and shearlugs The design strength of embedded structural shapes, fabricatedshapes, and shearlugsshall bedetermined usingasteel stress ofojy. where 0 shall be taken as0.9 for tension, compression and bending, and 0.55 for shear. B.7 Expansion anchors This section provides minimum requirements for the design oftypical expansionanchors used in concretestructures and does not restrict the use ofother expansion anchors provided the expansion anchors are designed and tested in accordance with the requirements of this section. ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,"B.6.4  Anchors that incorporate a reduced section in the load path shall satisfy one ofthe followingconditions: a) The ultimate tensile strength of the reduced section shall be greater than the yield strength of the unreduced section. b) For bolts, the length of thread in the load path shall be at least two anchor diameters. B.6.5--Anchors Anchors shall be designed for tension and shear loads in accordance with B.6.5.1, B.6.5.2 and B.6.5.3.",B.6.5.1,1056
,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.7.1 -Design requirements Expansion anchors shall be designed to assure that the design strength of concrete for a given expansion anchor or groupofexpansion anchors1Sgreaterthan thestrengthofthe anchor steel except as permitted in B.7.2. The requirement shall be met by satisfying the requirements of B.7.1.1 or B.7.1.2.,,1057
"-Designby analysis a) Tension: The design pullout strength of concrete Pd shall be as defined in B.4.2 except that the effective stress area shall be defined by the projected area of the stress cone radiating toward the concrete surface from the innermost expansion contact surface between the expansion anchor and the drilled hole. Refer to Fig. B.7-1 for typical details. The design pullout strength of concrete shall be equal to or greater than the minimum specified tensile strength or average tensile strength ifa minimum 1S not defined for the expansion anchor. The minimum edge distance shall be in accordance with the requirement of B.5.1.1(a). b) Shear: Expansion anchors subject to shear shall meet the requirements ofB.5.1.2.1. c) For combined tension and shear, the depth of embedment shall be in accordance with B.7.1.1(a) and the minimumedgedistance in accordance with B.7.1.1(b). d) The design requirements for embedment steel shall be in accordance with B.6.0. STRESS CONE SLEEVEANCHOR STRESS CONE SELF-DRILLING WEDGEANCHOR WEDGE ANCHOR STRESS CONE ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.7.1 -Design requirements Expansion anchors shall be designed to assure that the design strength of concrete for a given expansion anchor or groupofexpansion anchors1Sgreaterthan thestrengthofthe anchor steel except as permitted in B.7.2. The requirement shall be met by satisfying the requirements of B.7.1.1 or B.7.1.2.,B.7.1.1,1058
"-Design by testing Tests shall be conducted to verify that the concrete will develop the steel strength of the expansion anchor. Design by test results shall be restricted to tests that are representative ofthe anchor spacing and load application. B.7.13-Strength reduction factors The requirements ofB.6 shallapply except that theㅇ factors for expansionanchorsshall be0.9 timesthe values specifiedin B.6.2. B.7.2 -Alternative design requirements For expansion anchors that do not meet the requirement of B.7.1,thedesign strengthshall be0.33times theaveragetension andsheartest failure loads. Theaveragetest failureload shall be equal to the average of the testloads carried by test anchors at failure (maximum load) or at a magnitude of displacement oftest anchors as specified by the Engineer.  B.7.3 A single expansion anchor used to anchor anattachment shall be designedforone-halfofthedesignstrengthdefined herein. B.7.4-Testing B.7.4.1 Expansionanchorsdesignedinaccordance with B.7.1.1 or B.7.1.2 shall be tested to verify theability ofthe expansion mechanism to develop the tensile strength of the tensile stresscomponent. Expansion anchorsdesigned in accordance with B.7.2shall betested to determine theaverage test failure load Tests shall beconducted byatesting agency other than the expansion anchor manufacturer and shall be certified by a professional Engineer with full description and details of the testing program, procedures, results, and conclusions. B.7.4.2 The expansion mechanism ofthe expansion anchor shall be testedfor the installed condition by one of the following methods: a) The mechanism shall be actuated and tested during installation by preloading the expansion anchor to a minimum value asspecified by the Engineer. b) A random selection of the installed expansion anchors shall be load tested to a minimum of 100 percent of the design strength. The testing program shall be established by theEngineer. B.7.5-Expansion anchor selection The Engineer shall review the expansion anchor design features, failure modes, test results, and installation procedures prior to selecting a specific expansion anchor for an application. Expansion anchors shall not be used to resist vibratory loadsunless testsare conducted toverity theadequacy of the specific expansion anchor and application. In the selection ofexpansion anchors, consideration shall be given to expansion anchor performancein cracked concrete. B.8- Inserts Concrete inserts shall be specified in accordance with B.6.1 and tested in accordance with B.7.4.1. ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.7.1 -Design requirements Expansion anchors shall be designed to assure that the design strength of concrete for a given expansion anchor or groupofexpansion anchors1Sgreaterthan thestrengthofthe anchor steel except as permitted in B.7.2. The requirement shall be met by satisfying the requirements of B.7.1.1 or B.7.1.2.,B.7.1.2,1059
#NAME?,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.8.1,,1060
" Strength reduction factor Wheninsertscannot be designed to meetthe requirements ofB.4, B.5, and B.6, a( factor of0.5 shall be applied to the average test failure loadsin determining design strength. B.9 Grouted embedments ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.8.2,,1061
" Grouted embedments shall meet the applicable requirements ofB.4,B.5 and B.6. ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.9.1,,1062
" For general grouting purposes the material requirements for cement grout shall be in accordance with Chapter 3ofthis code. Special grouts usedto achieve certain propertiessuch as high strength, low shrinkage, orexpansion shall be the responsibility of the Engineer and specified in contract documents. ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.9.2,,1063
" Grouted embedments shall be tested to verify anchorage strength. Grouted embedments installed in tension zonesofconcrete members shall be capableofsustaining design strength in cracked concrete. Tests shall be conducted by an independent testing agency and shall be certified by a professional Engineer withfull description and detailsofthe testingprograms, procedures, results, and conclusions.  ",ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.9.3,,1064
 Grouted embedments shall betested forthe installed condition bytesting randomly selected grouted embedments to a minimum of 100 percent of the required strength. The testingprogram shall be established by the Engineer.  ,ACI_349_97 ,PART 6 -SPECIAL CONSIDERATIONS,Chapter 21 -Special Provisions for Seismic Design Ms = portion ofslab moment balanced by support,21.7 -Frame members not proportioned to resist forces induced by earthquake motions,21.7.2  All frame members with factored axialcompressive forcesexceeding(Agf'/10)] shall satisfy the following special requirements unlessthey comply with 21.4.4.,21.7.2.4  The tie spacing shall not exceed 2soinany part ofthe column.,APPENDIX B -Steel Embedments,B.5 -Anchorage requirements,B.9.4,,1065
